X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-10	0	-900	1.26263e-05	1.34645e-06	3.73956e-05
-9	0	-900	1.34992e-05	1.39261e-06	3.83289e-05
-8	0	-900	1.19344e-05	1.03571e-06	3.73314e-05
-7	0	-900	1.2524e-05	1.37026e-06	3.6997e-05
-6	0	-900	1.38003e-05	1.10714e-06	3.85162e-05
-5	0	-900	1.38592e-05	3.73537e-07	3.7549e-05
-4	0	-900	1.13471e-05	2.28938e-06	3.81261e-05
-3	0	-900	1.27978e-05	2.98402e-07	3.72315e-05
-2	0	-900	1.26188e-05	1.38739e-06	3.83348e-05
-1	0	-900	1.23158e-05	1.90799e-06	3.75563e-05
0	0	-900	1.1513e-05	1.91995e-06	3.73961e-05
1	0	-900	1.31066e-05	1.63371e-06	3.91478e-05
2	0	-900	1.24426e-05	7.66628e-07	3.88494e-05
3	0	-900	1.24357e-05	1.82104e-06	3.76332e-05
4	0	-900	1.32989e-05	6.35444e-08	3.83592e-05
5	0	-900	1.29659e-05	7.80543e-07	3.93974e-05
6	0	-900	1.25441e-05	1.01911e-06	3.85862e-05
7	0	-900	1.43955e-05	1.84419e-06	3.93638e-05
8	0	-900	1.56482e-05	1.86869e-06	3.98758e-05
9	0	-900	1.46299e-05	1.50554e-06	3.96087e-05
10	0	-900	1.44033e-05	1.05434e-06	3.93485e-05
-10	0	-899.5	1.22079e-05	1.44035e-06	3.78418e-05
-9	0	-899.5	1.35038e-05	1.66857e-06	3.81651e-05
-8	0	-899.5	1.24199e-05	7.00886e-07	3.73385e-05
-7	0	-899.5	1.26575e-05	1.3708e-06	3.7271e-05
-6	0	-899.5	1.38262e-05	7.14065e-07	3.89633e-05
-5	0	-899.5	1.29766e-05	3.74157e-07	3.73516e-05
-4	0	-899.5	1.14097e-05	1.60391e-06	3.83562e-05
-3	0	-899.5	1.25133e-05	3.9724e-07	3.66728e-05
-2	0	-899.5	1.23307e-05	1.84468e-06	3.8567e-05
-1	0	-899.5	1.30376e-05	1.93812e-06	3.79553e-05
0	0	-899.5	1.23267e-05	1.95529e-06	3.73666e-05
1	0	-899.5	1.33101e-05	1.17092e-06	3.86772e-05
2	0	-899.5	1.2571e-05	1.21897e-06	3.82129e-05
3	0	-899.5	1.22235e-05	1.62203e-06	3.85232e-05
4	0	-899.5	1.3403e-05	4.51569e-07	3.90795e-05
5	0	-899.5	1.31784e-05	1.0367e-06	3.85306e-05
6	0	-899.5	1.2538e-05	5.61293e-07	3.85918e-05
7	0	-899.5	1.45483e-05	1.46325e-06	3.88648e-05
8	0	-899.5	1.59894e-05	1.55763e-06	3.95739e-05
9	0	-899.5	1.48243e-05	1.79917e-06	3.90052e-05
10	0	-899.5	1.52225e-05	1.23047e-06	3.90174e-05
-10	0	-899	1.30212e-05	1.37568e-06	3.82039e-05
-9	0	-899	1.36801e-05	1.51652e-06	3.85268e-05
-8	0	-899	1.2784e-05	1.24203e-06	3.75122e-05
-7	0	-899	1.25498e-05	1.02317e-06	3.71216e-05
-6	0	-899	1.40605e-05	9.67141e-07	3.91323e-05
-5	0	-899	1.28699e-05	5.10118e-07	3.77712e-05
-4	0	-899	1.13823e-05	1.55767e-06	3.79743e-05
-3	0	-899	1.29388e-05	7.66643e-07	3.68279e-05
-2	0	-899	1.23781e-05	2.13714e-06	3.87141e-05
-1	0	-899	1.28638e-05	1.84432e-06	3.82807e-05
0	0	-899	1.24958e-05	1.62804e-06	3.77021e-05
1	0	-899	1.29739e-05	1.38898e-06	3.88879e-05
2	0	-899	1.27144e-05	1.07149e-06	3.79916e-05
3	0	-899	1.21474e-05	1.58736e-06	3.88966e-05
4	0	-899	1.33421e-05	3.1053e-07	3.88928e-05
5	0	-899	1.28445e-05	4.49692e-07	3.9013e-05
6	0	-899	1.29582e-05	8.66762e-07	3.87862e-05
7	0	-899	1.46147e-05	1.54031e-06	3.87589e-05
8	0	-899	1.60114e-05	2.06872e-06	3.95927e-05
9	0	-899	1.51569e-05	1.32916e-06	3.91243e-05
10	0	-899	1.55673e-05	1.31273e-06	3.8767e-05
-10	0	-898.5	1.30921e-05	1.48834e-06	3.82047e-05
