X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-10	0	-900	1.00685e-05	2.7392e-06	3.82032e-05
-9	0	-900	1.09245e-05	2.43623e-06	3.76826e-05
-8	0	-900	1.12037e-05	1.68066e-06	3.81079e-05
-7	0	-900	1.11306e-05	1.136e-06	3.73737e-05
-6	0	-900	1.10154e-05	2.27719e-06	3.77815e-05
-5	0	-900	1.17081e-05	1.45811e-06	3.84482e-05
-4	0	-900	9.67188e-06	1.59219e-06	3.66612e-05
-3	0	-900	1.07619e-05	1.7504e-06	3.68116e-05
-2	0	-900	1.1817e-05	8.71948e-07	3.81075e-05
-1	0	-900	1.20658e-05	6.34169e-07	3.88423e-05
0	0	-900	1.04322e-05	6.70775e-07	3.76295e-05
1	0	-900	9.79757e-06	1.96035e-06	3.70152e-05
2	0	-900	1.18811e-05	1.31778e-06	3.79663e-05
3	0	-900	1.10099e-05	1.17554e-06	3.71721e-05
4	0	-900	1.05535e-05	1.68617e-06	3.7304e-05
5	0	-900	1.14028e-05	2.41777e-06	3.75107e-05
6	0	-900	1.14192e-05	1.3763e-06	3.93691e-05
7	0	-900	1.205e-05	1.3693e-06	3.68956e-05
8	0	-900	1.21048e-05	2.01367e-06	3.76289e-05
9	0	-900	1.03932e-05	2.58039e-06	3.66266e-05
10	0	-900	1.22606e-05	1.73802e-06	3.7239e-05
-10	0	-899.5	1.07108e-05	2.70517e-06	3.80183e-05
-9	0	-899.5	1.06377e-05	2.11232e-06	3.77384e-05
-8	0	-899.5	1.09018e-05	1.65049e-06	3.75887e-05
-7	0	-899.5	1.09379e-05	1.38723e-06	3.70976e-05
-6	0	-899.5	1.13287e-05	1.94331e-06	3.79864e-05
-5	0	-899.5	1.17251e-05	1.21121e-06	3.79206e-05
-4	0	-899.5	1.0304e-05	2.41232e-06	3.67421e-05
-3	0	-899.5	1.05669e-05	1.82116e-06	3.77002e-05
-2	0	-899.5	1.18197e-05	1.17153e-06	3.75582e-05
-1	0	-899.5	1.21616e-05	7.61669e-07	3.90768e-05
0	0	-899.5	1.10808e-05	3.85277e-07	3.77452e-05
1	0	-899.5	9.85779e-06	1.37961e-06	3.67469e-05
2	0	-899.5	1.19532e-05	2.02769e-06	3.86236e-05
3	0	-899.5	1.11958e-05	1.72206e-06	3.75193e-05
4	0	-899.5	1.05039e-05	1.75036e-06	3.68289e-05
5	0	-899.5	1.15915e-05	1.58527e-06	3.78262e-05
6	0	-899.5	1.13085e-05	1.58084e-06	3.87657e-05
7	0	-899.5	1.17162e-05	1.42787e-06	3.73832e-05
8	0	-899.5	1.16724e-05	1.65742e-06	3.85235e-05
9	0	-899.5	1.04022e-05	2.04235e-06	3.6898e-05
10	0	-899.5	1.25521e-05	1.81467e-06	3.68343e-05
-10	0	-899	9.92582e-06	1.98313e-06	3.80159e-05
-9	0	-899	1.05949e-05	2.13036e-06	3.74996e-05
-8	0	-899	1.06094e-05	2.02659e-06	3.81598e-05
-7	0	-899	1.08092e-05	1.4155e-06	3.68126e-05
-6	0	-899	1.13465e-05	1.89135e-06	3.80739e-05
-5	0	-899	1.15579e-05	1.78566e-06	3.83597e-05
-4	0	-899	1.05726e-05	2.35247e-06	3.6443e-05
-3	0	-899	1.06921e-05	1.65563e-06	3.73143e-05
-2	0	-899	1.18934e-05	9.53623e-07	3.77236e-05
-1	0	-899	1.2545e-05	1.35284e-06	3.94473e-05
0	0	-899	1.10444e-05	1.76264e-07	3.76888e-05
1	0	-899	9.79359e-06	1.45136e-06	3.7188e-05
2	0	-899	1.18754e-05	1.72594e-06	3.84518e-05
3	0	-899	1.09527e-05	1.03502e-06	3.78672e-05
4	0	-899	1.07018e-05	1.63152e-06	3.68873e-05
5	0	-899	1.16839e-05	1.57476e-06	3.80689e-05
6	0	-899	1.12759e-05	1.72705e-06	3.82925e-05
7	0	-899	1.19281e-05	1.51701e-06	3.77775e-05
8	0	-899	1.12127e-05	1.23502e-06	3.87502e-05
9	0	-899	1.0379e-05	1.75046e-06	3.69725e-05
10	0	-899	1.28489e-05	1.6814e-06	3.73754e-05
-10	0	-898.5	9.77555e-06	2.41248e-06	3.7867e-05
-9	0	-898.5	1.08051e-05	1.99622e-06	3.7606e-05
-8	0	-898.5	1.04365e-05	1.83693e-06	3.80615e-05
-7	0	-898.5	1.08651e-05	1.24088e-06	3.69823e-05
-6	0	-898.5	1.12771e-05	1.60435e-06	3.8486e-05
-5	0	-898.5	1.119e-05	1.74524e-06	3.79106e-05
-4	0	-898.5	1.02384e-05	1.92485e-06	3.63749e-05
-3	0	-898.5	1.09658e-05	1.9731e-06	3.75519e-05
-2	0	-898.5	1.18871e-05	1.08288e-06	3.78129e-05
-1	0	-898.5	1.27078e-05	1.22402e-06	3.93025e-05
0	0	-898.5	1.11982e-05	3.50514e-07	3.73454e-05
1	0	-898.5	9.7894e-06	1.25177e-06	3.77443e-05
2	0	-898.5	1.1467e-05	1.82674e-06	3.81445e-05
3	0	-898.5	1.09593e-05	8.94624e-07	3.76682e-05
4	0	-898.5	1.07337e-05	1.84986e-06	3.72934e-05
5	0	-898.5	1.13785e-05	1.50483e-06	3.85929e-05
6	0	-898.5	1.15948e-05	1.45726e-06	3.83e-05
7	0	-898.5	1.20802e-05	1.25321e-06	3.80955e-05
8	0	-898.5	1.14174e-05	1.23488e-06	3.88565e-05
9	0	-898.5	9.9756e-06	1.75569e-06	3.66438e-05
